pref,amInd,asian,black,hispanic,white,occurences
do,0.00428322,0.005452978,0.036362409,0.03399313,0.908833809,51746
hit,0,0,0,0.0129,0.9725,618
hia,0.0055,0.0043,0.0034,0.0184,0.9547,10096
dr,0,0.0049,0,0.0194,0.9563,1029
hin,0,0.003248995,0.014240181,0.009067466,0.963056513,1543
eme,0.003763563,0.006122672,0.002242105,0.0163,0.956658704,6669
cru,0,0,0.0261,0.0354,0.9291,536
eml,0,0.0117,0,0.0658,0.9035,684
she,0,0.004394919,0.058123058,0.008787347,0.91304895,2047
cre,0,0,0,0.0208,0.9543,481
shi,0.002735188,0.002991035,0.01831747,0.010970163,0.952516395,8466
cri,0.0037,0.0038,0.0521,0.0133,0.9166,10469
cro,0.01317694,0.004167275,0.048705166,0.013446574,0.907045011,59597
ebe,0,0,0,0,0.9931,435
bea,0,0,0,0,0.9893,468
ara,0,0,0,0.0245,0.9688,449
see,0.0089,0,0,0.0199,0.9505,1456
ard,0.0063,0.0045,0,0.0272,0.9475,1104
sea,0,0.012,0.0154,0.0205,0.9385,585
sen,0.006,0.0064,0.0148,0.0172,0.9371,2496
ark,0,0,0,0.0271,0.9612,850
arn,0.0046,0.0051,0.0018,0.0153,0.9599,14052
lut,0.0067,0.0047,0.0223,0.0133,0.9398,9445
mus,0.002135448,0.004689872,0.005262354,0.014081636,0.939654064,5549
wor,0,0.0119,0,0.0158,0.9506,506
wol,0,0,0,0.017,0.9617,470
woj,0,0.0022,0,0.0126,0.974,2231
mum,0,0.0076,0,0.0121,0.9651,659
mul,0,0,0,0,0.9895,475
luk,0,0,0,0.0062,0.9689,805
tur,0,0,0,0.0129,0.9742,466
we,0.00324754,0.003268589,0.004971212,0.019102645,0.95166189,4613
kel,0.0042,0.0071,0.0029,0.0071,0.9649,3109
ju,0.001205261,0.002380391,0.002383181,0.012741072,0.967719729,5018
tut,0,0,0,0.0137,0.959,439
wh,0.007033612,0.002702556,0.017333635,0.013354897,0.947519136,8842
wu,0,0,0,0,0.978,409
wr,0,0,0.0053,0.006,0.9774,1327
tuo,0,0,0,0,0.9797,444
wy,0.0057,0.0052,0.0272,0.0164,0.9335,11063
ell,0.005673725,0.004593015,0.01945277,0.02579527,0.928805102,4567
gwo,0,0,0,0,0.9981,522
unc,0,0,0,0.014,0.9736,643
wro,0,0,0.0053,0.006,0.9774,1327
coh,0,0,0.014,0.0236,0.9408,2501
mer,0,0.0186,0,0.0223,0.9295,539
alc,0,0.0164,0.0023,0.9155,0.0596,2567
cz,0,0.004718105,0,0.018116792,0.964033865,3198
pol,0,0,0,0.0346,0.9524,462
