Gram,Ethnicity,Occurences
zoz,4,1651
wco,4,22370
uyp,4,645
ocz,4,3637
uyr,4,753
feu,4,5811
dla,4,29699
iwi,4,2783
kmi,4,1807
fca,4,415
enl,4,57560
uye,1,325859
uyd,4,1350
fci,4,1093
uyk,4,9623
uym,4,1292
uyl,4,6528
fco,4,4758
axs,4,8537
mry,4,855
axu,2,1063
nfe,4,33507
mru,4,429
axb,4,723
axc,4,610
mro,4,16060
axf,4,6047
mri,4,22942
mre,4,3268
axh,4,481
axo,4,10722
axl,4,11599
axm,4,2912
tke,4,28048
fes,4,16486
wur,4,11864
tkn,4,1068
tko,4,31181
zzo,4,74547
wnu,4,1462
ehn,4,65006
nla,4,78464
tku,4,2778
tkr,4,509
nli,4,15875
huf,4,127057
nlo,4,52384
ffz,4,404
rkb,4,2209
wut,4,691
ytl,4,12701
xba,4,887
ffu,4,3096
utb,4,584
ssy,4,20570
yth,4,45402
geu,4,1403
get,4,129860
ssu,4,11654
ffs,4,6664
gey,4,13303
ehl,4,128243
zeo,4,3073
gec,4,3946
ssl,4,110307
dyn,4,2270
ssn,4,27723
geg,4,478
ssh,4,2262
ssk,4,933
ged,4,14659
sse,4,883203
dye,4,78424
gei,4,59823
dyg,4,1708
gen,4,347755
dyb,4,519
ssb,4,11684
ffn,4,33976
lfs,4,5662
ksa,4,901
msb,4,5380
ffk,4,1572
uth,4,294818
fqu,4,708
jop,4,2019
uv,4,80769
lny,4,2269
rmw,2,652
hki,4,7141
tuy,4,664
lnu,4,1880
uvo,4,639
uto,4,45768
rmb,4,8008
lno,4,413
rma,4,927719
lni,4,9093
