pattern,black,white,amInd,asian,hispanic
de/an,0.130644226408,0.771189572141,0.00746156759107,0.051492091125,0.0199077764025
de/and,0.00606962560386,0.946228985507,0.00300966183575,0.0,0.0187207729469
de/ange,0.0116187474077,0.953528245541,0.00329688925757,0.00415694732476,0.00996445458316
de/ano,0.00587216218288,0.944066306431,0.00344403311106,0.00545457959684,0.0265948570553
de/ard,0.235947015986,0.727597397869,0.00737005328597,0.00106248667851,0.00931471580817
de/au,0.0585825171625,0.721015171625,0.175490846682,0.00414137299771,0.0189767734554
de/ba,0.0,0.1097,0.0,0.0066,0.88
de/beck,0.0,0.9744,0.0,0.0,0.0
de/berg,0.0,0.9856,0.0,0.0,0.0
de/bert,0.0,0.9617,0.0,0.0082,0.0164
de/bois,0.1451,0.8103,0.0,0.0,0.0134
de/by,0.185073959531,0.767784249253,0.00722717866176,0.00548787077489,0.0181917567257
de/din,0.0115,0.9141,0.0,0.0,0.0458
de/dorf,0.0,0.9721,0.0,0.0,0.0152
de/ec,0.0,0.9581,0.0,0.0073,0.0073
de/ell,0.0926102425876,0.866566114748,0.00436887755102,0.00487925490951,0.0171976800154
de/ems,0.0046,0.9635,0.0046,0.0046,0.0091
de/ens,0.0,0.9638,0.0,0.0,0.0126
de/ent,0.280887363078,0.678298733636,0.00503187282928,0.00459378573337,0.0147984718141
de/er,0.0241586184605,0.935309253936,0.00528487671423,0.00740317160733,0.0138949248511
de/ero,0.0,0.950147505938,0.0,0.0,0.0308573634204
de/ers,0.0437230585015,0.917548880526,0.00408038164747,0.00380196145513,0.0151578439199
de/ese,0.0583589135425,0.861073787299,0.0476127773527,0.00304477429227,0.0115517980107
de/et,0.0,0.9503,0.0,0.0079,0.0166
de/ets,0.0,0.9576,0.0,0.00332307692308,0.0228384615385
de/ez,0.0329,0.9205,0.0,0.0,0.0233
de/ford,0.0145,0.9376,0.011,0.0057,0.0163
de/han,0.0174,0.9628,0.0,0.0,0.0124
de/holm,0.0,0.9715,0.0,0.0,0.0
de/i,0.00119635330768,0.48469053326,0.0013399157046,0.46468737035,0.0145832435404
de/ia,0.0119525489957,0.870009860187,0.00293593625984,0.0474526100495,0.047686897857
de/ich,0.00502419700214,0.962157173448,0.0,0.0042909350464,0.020733904354
de/ier,0.06330354139,0.883808366534,0.00732709163347,0.00310624169987,0.0254517485613
de/in,0.0382729179935,0.880142692841,0.00220294833852,0.0176727531563,0.0447972389765
de/ing,0.0541280433465,0.907301076534,0.00377726446369,0.00603845221545,0.0154289166934
de/is,0.174555804402,0.765833183532,0.00687815036133,0.00679738587914,0.0285706643949
de/ius,0.6156,0.2764,0.0,0.0,0.0402
de/kin,0.00765062166963,0.96090526939,0.0,0.00471415038484,0.0135720544701
de/ko,0.0,0.9629,0.0,0.0031,0.0211
de/la,0.00523424958194,0.711749822324,0.00207921195652,0.0350244460702,0.220211642977
de/li,0.0,0.934172663139,0.0,0.00410329218107,0.03349776602
de/lin,0.0316,0.936,0.0027,0.0032,0.015
de/los,0.0,0.9596,0.0,0.0,0.0149
de/man,0.0337323142071,0.629684564895,0.0127553377091,0.269042705907,0.0309481770061
de/mann,0.0,0.9776,0.0,0.0,0.0106
de/ment,0.0144,0.9396,0.0075,0.0063,0.0166
de/mos,0.023,0.9275,0.0,0.0,0.0208
de/nen,0.0136,0.9523,0.0,0.0095,0.015
de/nes,0.00111235573659,0.959939171758,0.00249599456891,0.0,0.0174172437203
de/nova,0.0,0.3606,0.0,0.0,0.6268
