PARIS               ,6527
NAYLOR              ,6517
GENTILE             ,6516
PARR                ,6497
GUPTA               ,6497
MATTSON             ,6489
BARTLEY             ,6489
PURVIS              ,6476
FAY                 ,6442
HORVATH             ,6424
DOW                 ,6401
WHITING             ,6398
TALBOT              ,6387
MOCK                ,6386
WHITT               ,6385
COUGHLIN            ,6372
SCHAEFFER           ,6370
JIANG               ,6356
SHOOK               ,6337
ABERNATHY           ,6334
WHITLOCK            ,6321
BURR                ,6312
KELLOGG             ,6304
REAGAN              ,6303
BRANNON             ,6295
PENDLETON           ,6285
KEYES               ,6282
CASTELLANOS         ,6280
STONER              ,6275
BRUNNER             ,6270
WETZEL              ,6267
GRAYSON             ,6257
CHEEK               ,6256
AKINS               ,6255
MICHAUD             ,6252
RADER               ,6239
HAM                 ,6222
AGUILERA            ,6216
LIND                ,6206
BAUMANN             ,6202
BURKHART            ,6197
GANNON              ,6191
BEEBE               ,6187
BRUNSON             ,6136
DE                  ,6125
GOODSON             ,6115
AMAYA               ,6109
ARNETT              ,6084
LOOMIS              ,6063
DESAI               ,6046
GRIFFITHS           ,6045
BRUNER              ,6033
BECKMAN             ,6027
RAHMAN              ,6015
OLIVEIRA            ,6005
STAUFFER            ,6003
DOUGLASS            ,6000
NAGEL               ,5996
HUMMEL              ,5994
HUTSON              ,5992
MAI                 ,5990
JOINER              ,5980
MCGREGOR            ,5974
WINSLOW             ,5958
CLINTON             ,5958
RUFF                ,5953
REAVES              ,5950
SKELTON             ,5941
MARCUM              ,5932
DAWKINS             ,5921
OUELLETTE           ,5915
NUNN                ,5911
PRATHER             ,5905
REDDING             ,5903
SAMS                ,5901
PARHAM              ,5897
SHIPMAN             ,5892
EASLEY              ,5882
DOBBINS             ,5875
TIERNEY             ,5872
MCDONNELL           ,5865
JACQUES             ,5850
BARNEY              ,5842
HARMAN              ,5841
MAHAN               ,5826
LOPES               ,5824
OSORIO              ,5822
CALL                ,5814
STEINBERG           ,5810
FERRARA             ,5804
ABREU               ,5794
WORTHINGTON         ,5792
VELA                ,5787
ARNDT               ,5777
VALENTIN            ,5748
NEWCOMB             ,5745
WAGONER             ,5741
CLEMENS             ,5734
HUMPHREYS           ,5731
MARION              ,5722
GRAF                ,5714
BEAM                ,5712
GRUBB               ,5708
IRVING              ,5698
DOVE                ,5666
VAN                 ,5643
ZEPEDA              ,5638
LYLES               ,5634
SQUIRES             ,5626
LUJAN               ,5622
KILPATRICK          ,5610
EARLY               ,5606
STODDARD            ,5599
PARNELL             ,5597
SHERRILL            ,5595
NIETO               ,5595
KITCHEN             ,5587
SERNA               ,5583
CORONADO            ,5577
BLACKMAN            ,5566
BAUGHMAN            ,5562
HIGGINBOTHAM        ,5557
LAWTON              ,5557
LINTON              ,5555
SALMON              ,5549
SEALS               ,5529
BELANGER            ,5522
FAIRCHILD           ,5504
CROOK               ,5497
GERMAN              ,5493
ROWAN               ,5491
WILLIAM             ,5489
SORIANO             ,5483
JAEGER              ,5464
STARNES             ,5460
GOETZ               ,5460
BARGER              ,5457
ROBB                ,5452
STOREY              ,5448
MUHAMMAD            ,5443
WHITTEN             ,5442
CARON               ,5432
PICKERING           ,5431
MATTINGLY           ,5417
BUSTAMANTE          ,5411
LAWS                ,5407
UPTON               ,5403
MCCLOUD             ,5396
DEVLIN              ,5390
BRASWELL            ,5385
LONGO               ,5380
DASILVA             ,5379
LOVELACE            ,5375
CANALES             ,5370
REICH               ,5366
REA                 ,5363
SLACK               ,5360
HARMS               ,5359
GAFFNEY             ,5355
SCHERER             ,5355
SATTERFIELD         ,5353
MCCLELLAND          ,5349
HE                  ,5344
EMMONS              ,5344
PARROTT             ,5336
CHENEY              ,5335
HILLS               ,5333
CHIU                ,5324
TEMPLETON           ,5315
CARRIER             ,5311
COBURN              ,5310
FORRESTER           ,5310
STUMP               ,5290
HOLM                ,5286
YANCEY              ,5284
SEPULVEDA           ,5282
POOL                ,5281
WISNIEWSKI          ,5269
COONEY              ,5260
ELY                 ,5253
DENNISON            ,5253
STOCK               ,5227
ASKEW               ,5226
APONTE              ,5224
WENDT               ,5209
SCHUBERT            ,5206
THARP               ,5202
GILLILAND           ,5195
HIGH                ,5194
HOUCK               ,5193
BLANK               ,5185
WING                ,5174
RINEHART            ,5170
SEITZ               ,5168
GILLETTE            ,5167
STOCKTON            ,5166
HEIN                ,5161
CHISHOLM            ,5158
PRADO               ,5158
WILLETT             ,5134
HEATON              ,5133
LYTLE               ,5124
WILLEY              ,5124
OLDHAM              ,5122
PEASE               ,5112
RENTERIA            ,5106
PERSON              ,5104
STACK               ,5097
CHURCHILL           ,5094
LUONG               ,5088
GREENFIELD          ,5084
CUELLAR             ,5080
WHELAN              ,5070
RICO                ,5066
SOLANO              ,5064
BEARDEN             ,5062
GILCHRIST           ,5059
BABB                ,5042
CHAVIS              ,5034
